,Name,Industry,Sector,Headquarters,Founded,Notes
0,Aban Offshore,Oil & gas,Exploration & production,Chennai,1986,"Oil, petrochemical"
1,ABG Shipyard,Industrials,Shipbuilding,Ahmedabad,1985,Ship engineering
2,ABP Group,Consumer services,Broadcasting & entertainment,Kolkata,1922,"Media, news"
3,ACC Limited,Industrials,Building materials & fixtures,Mumbai,1936,Cement
4,Action Group,Conglomerate,-,New Delhi,1972,"Apparel, chemicals, retail, steel"
5,Adani Group,Conglomerate,-,Ahmedabad,1988,Conglomerate
6,Aditya Birla Group,Conglomerate,-,Mumbai,1857,"Agribusiness, cement, chemicals"
7,Ador Group,Conglomerate,-,Mumbai,1977,"Electronics, energy, chemicals"
8,Aeronautical Development Agency,Industrials,Aerospace & defense,Bengaluru,1984,State-owned aircraft research
9,Air Costa,Consumer services,Airlines,Vijayawada,2013,Defunct 2017
10,Air Odisha,Consumer services,Airlines,Bhubaneswar,2012,Charter airline
11,Air India,Consumer services,Airlines,New Delhi,1932,Airline
12,Air India Express,Consumer services,Airlines,Kochi,2005,"Low-cost airline, part of Air India"
13,Amartex,Consumer services,Apparel retailers,Gurugram,1984,Clothing retail
14,Ambuja Cements,Industrials,Building materials & fixtures,Mumbai,1983,Cement
15,Amrutanjan Healthcare,Health care,Pharmaceuticals,Chennai,1893,Alternative medicines
16,Amul,Consumer goods,Food products,Anand,1946,Dairy
17,Apollo Hospitals,Health care,Health care providers,Chennai,1983,Hospital chain
18,Apollo Tyres,Consumer goods,Tires,Gurugram,1972,"Tyres, parts"
19,Aptech,Industrials,Business training & employment agencies,Mumbai,1986,Training
20,Archies,Consumer services,Specialty retailers,New Delhi,1979,Greeting cards
21,Arise India,Consumer goods,Consumer electronics,Delhi,1995,Electrical goods
22,Arvind,Conglomerate,-,Ahmedabad,1931,"Clothing, engineering, real estate"
23,Ashok Leyland,Industrials,Commercial vehicles & trucks,Chennai,1948,"Bus, trucks, defense vehicles"
24,Asia MotorWorks,Industrials,Commercial vehicles & trucks,Mumbai,2002,Trucks
